,Unnamed: 0,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
8390,8596,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,45,273.6,6.08,0.2,Mylan (formerly Matrix) Nashik,No,3526.69,0.38,114.0
4711,4917,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,24612,35687.4,1.45,0.02,"Aurobindo Unit III, India",Yes,17541.06,69.95,148.0
2336,2515,SO,DN,512,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,120,4155,170770.5,41.1,0.34,other,No,3526.69,273.23,-223.5
8158,8364,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,120,10275,213720.0,20.8,0.17,"Aurobindo Unit III, India",No,3526.69,219.7,383.0
3998,4204,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,30,128,2977.28,23.26,0.78,other,Yes,2769.45,3.5,104.0
2302,2481,SO,DN,650,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,16033,260536.25,16.25,0.54,"Aurobindo Unit III, India",Yes,3807.29,619.2275,-223.5
4516,4722,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,30,41900,349431.76,6.47,0.22,"Cipla, Goa, India",Yes,12796.59,576.56,126.0
6012,6218,SCMS,ASN,1046,Direct Drop,EXW,Air,Adult,other,Generic,30,1800,45000.0,25.0,0.83,Mylan (formerly Matrix) Nashik,Yes,3109.21,63.09,111.0
4422,4628,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,30,187,4349.62,23.26,0.78,other,Yes,958.85,5.38,170.0
7349,7555,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,128719.5,2.73,0.05,"Aurobindo Unit III, India",Yes,6147.18,277.52,188.0
1690,1752,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,3250,4550.0,1.4,0.01,"Aurobindo Unit III, India",Yes,6381.87,8.92,-182.0
4328,4534,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,60,19836,167019.12,8.42,0.14,"Aurobindo Unit III, India",Yes,698.0,275.58,188.0
5008,5214,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,6,394.51,53.775000000000006,1.09875,other,No,0.0,0.41,316.0
9483,9689,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,21709,102032.3,4.7,0.16,Mylan (formerly Matrix) Nashik,Yes,5591.3,126.21,203.0
1412,1452,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,1319,9892.5,7.5,0.12,"Cipla, Goa, India",Yes,8331.36,15.83,-223.5
4636,4842,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,6,144.28,24.05,0.1,other,No,0.0,0.18,121.0
2529,2735,SCMS,ASN,111,Direct Drop,EXW,Air,HIV+,other,other,100,8298,407198.31250000006,53.775000000000006,0.89,other,Yes,16090.59,619.2275,104.0
9449,9655,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,10.52,0.35,Hetero Unit III Hyderabad IN,Yes,13817.65,619.2275,197.0
4468,4674,SCMS,ASN,639,Direct Drop,EXW,Ocean,Adult,other,Generic,30,15080,165276.8,10.96,0.37,other,Yes,0.0,169.9,166.0
1800,1899,SO,DN,650,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,13124,25854.28,1.97,0.01,"Aurobindo Unit III, India",Yes,17358.74,41.37,-223.5
1508,1548,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,4000,48040.0,12.01,0.4,"Aurobindo Unit III, India",Yes,17636.265,76.86,-223.5
2352,2531,SO,DN,1161,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,1622,10056.4,6.2,0.03,"Aurobindo Unit III, India",No,3526.69,16.09,-223.5
3884,4090,SCMS,ASN,639,Direct Drop,EXW,Ocean,Adult,other,Generic,30,4176,19209.6,4.6,0.15,other,Yes,2251.94,23.76,264.0
4222,4428,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,2500,21941.29,8.78,0.15,other,No,0.0,27.14,163.0
6412,6618,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,17896,156768.96,8.76,0.15,Hetero Unit III Hyderabad IN,Yes,4097.0,307.27,183.0
9363,9569,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,22100,51493.0,2.33,0.04,"Strides, Bangalore, India.",No,3526.69,72.19,178.0
9857,10063,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,382141.4,5.38,0.09,"Strides, Bangalore, India.",No,3526.69,619.2275,189.0
8564,8770,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,8.26,0.14,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,289.0
8549,8755,SO,DN,429,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,11.15,0.37,Mylan (formerly Matrix) Nashik,Yes,11571.94,619.2275,266.0
6896,7102,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,100,750.0,7.5,0.12,"Aurobindo Unit III, India",Yes,0.0,1.62,138.0
1705,1767,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,1524,4876.8,3.2,0.05,"Aurobindo Unit III, India",No,3526.69,9.56,-88.0
7877,8083,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,281120.0,2.51,0.04,Hetero Unit III Hyderabad IN,Yes,7962.26,606.09,248.0
1475,1515,SO,DN,639,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,2112,4055.04,1.92,0.01,"Aurobindo Unit III, India",No,3526.69,6.49,-223.5
