,Unnamed: 0,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
9313,9519,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,67,553.42,8.26,0.14,"Aurobindo Unit III, India",No,3526.69,0.78,85.0
5262,5468,SCMS,ASN,535,Direct Drop,FCA,Air,Pediatric,other,other,60,1014,7098.0,7.0,0.12,other,Yes,3584.08,8.78,328.0
3988,4194,SCMS,ASN,1046,Direct Drop,FCA,Air,Adult,other,other,120,16695,407198.31250000006,33.7,0.28,other,Yes,17636.265,619.2275,225.0
7146,7352,SO,DN,512,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,31144,70385.44,2.26,0.04,Hetero Unit III Hyderabad IN,Yes,7134.39,87.07,108.0
9101,9307,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,1764,6262.2,3.55,0.12,Mylan (formerly Matrix) Nashik,Yes,707.7,6.44,311.0
8678,8884,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,100,290.0,2.9,0.05,"Aurobindo Unit III, India",No,3526.69,0.57,63.0
7093,7299,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,225997.74,2.26,0.04,other,No,3526.69,316.85,196.0
3673,3879,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,100,1224,97920.0,53.775000000000006,0.8,other,Yes,11491.6,161.57,107.0
8328,8534,SO,DN,512,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,4738,19994.36,4.22,0.14,Mylan (formerly Matrix) Nashik,No,3526.69,32.99,24.0
9414,9620,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,40455,389177.1,9.62,0.16,Hetero Unit III Hyderabad IN,No,3526.69,545.63,281.0
10039,10245,SO,DN,512,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,2707,30399.61,11.23,0.19,Mylan (formerly Matrix) Nashik,Yes,1811.6,37.6,273.0
2766,2972,SCMS,ASN,207,Direct Drop,EXW,Air,HIV+,other,other,1,175,4287.5,24.5,1.09875,other,Yes,1472.03,6.01,208.0
7997,8203,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,30114,407198.31250000006,13.69,0.46,Mylan (formerly Matrix) Nashik,Yes,6923.53,577.99,137.0
8869,9075,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,7150,21092.5,2.95,0.05,"Strides, Bangalore, India.",No,3526.69,34.8,267.0
4259,4465,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,9744,14128.8,1.45,0.02,"Aurobindo Unit III, India",Yes,6158.0,30.46,444.5
3547,3753,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,2800,9800.0,3.5,0.12,Hetero Unit III Hyderabad IN,Yes,1593.67,10.07,153.0
1210,1231,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,570,20235.0,35.5,0.59,"Aurobindo Unit III, India",No,3526.69,1.09,-223.5
4333,4539,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,180,124,3352.74,27.04,0.11,"Aurobindo Unit III, India",No,0.0,4.15,414.0
5175,5381,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,7,126.22,18.03,0.3,"Aurobindo Unit III, India",No,0.0,0.13,264.0
5028,5234,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,6,100.91,16.82,0.56,"Aurobindo Unit III, India",No,0.0,0.12,414.0
9475,9681,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,39180,88546.8,2.26,0.04,Hetero Unit III Hyderabad IN,No,3526.69,109.53,287.0
3199,3405,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,100,1130,90400.0,53.775000000000006,0.8,other,Yes,10626.8,126.74,104.0
6783,6989,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,10.25,0.34,other,No,3526.69,619.2275,147.0
9337,9543,SO,DN,429,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,90,2520,21772.8,8.64,0.1,"Aurobindo Unit III, India",Yes,2716.08,30.53,32.0
430,430,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,60,800,4792.0,5.99,0.1,other,Yes,0.0,7.67,-223.5
3727,3933,SCMS,ASN,48,Direct Drop,EXW,Air,Adult,other,Generic,30,41900,191400.0,3.19,0.11,"Strides, Bangalore, India.",Yes,17636.265,196.76,129.0
2146,2303,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,5344,86893.44,16.26,0.54,"Aurobindo Unit III, India",No,3526.69,139.03,-223.5
6723,6929,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,10000,46400.0,4.64,0.15,Hetero Unit III Hyderabad IN,Yes,17636.265,47.7,232.0
1689,1751,SO,DN,207,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,298484.64,7.12,0.12,"Strides, Bangalore, India.",Yes,14732.36,585.03,-89.0
5147,5353,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,38,564.39,14.85,0.5,Mylan (formerly Matrix) Nashik,No,0.0,0.58,316.0
4672,4878,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,33000,135300.0,4.1,0.14,"Strides, Bangalore, India.",No,3526.69,223.24,96.0
7177,7383,SO,DN,164,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,549,2058.75,3.75,0.06,Mylan (formerly Matrix) Nashik,No,3526.69,2.12,149.0
1960,2087,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,29959,407198.31250000006,17.5,0.29,"Aurobindo Unit III, India",No,3526.69,25.74,-223.5
6859,7065,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,8010,19544.4,2.44,0.04,"Aurobindo Unit III, India",Yes,4519.97,38.31,146.0
7385,7591,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,21678,50509.74,2.33,0.04,"Aurobindo Unit III, India",Yes,4471.07,108.9,228.0
6080,6286,SCMS,ASN,35,Direct Drop,EXW,Air,HIV+,other,other,20,1270,40640.0,32.0,1.09875,other,Yes,4726.15,67.06,134.0
4256,4462,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,2196,20862.0,9.5,0.32,Hetero Unit III Hyderabad IN,Yes,0.0,24.55,146.0
6602,6808,SO,DN,164,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,270,599.4,2.22,0.04,Hetero Unit III Hyderabad IN,Yes,4934.43,0.84,67.0
6321,6527,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,525,3465.0,6.6,0.11,"Cipla, Goa, India",Yes,807.47,4.86,110.0
319,319,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,30,400,8416.0,21.04,0.7,other,Yes,0.0,13.47,-223.5
9439,9645,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,22000,266420.0,12.11,0.4,Mylan (formerly Matrix) Nashik,Yes,4120.69,373.52,295.0
6743,6949,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,8.11,0.14,"Aurobindo Unit III, India",Yes,17636.265,619.2275,218.0
2871,3077,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,42,507.93,12.09,0.4,"Aurobindo Unit III, India",Yes,0.0,0.52,347.0
4385,4591,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,180,517,2812.74,5.44,0.02,"Cipla, Goa, India",No,0.0,3.48,29.0
1466,1506,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,2883,27388.5,9.5,0.16,"Aurobindo Unit III, India",No,3526.69,43.82,-223.5
9704,9910,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,488,3728.32,7.64,0.25,Mylan (formerly Matrix) Nashik,Yes,2677.09,8.04,36.0
1744,1843,SO,DN,1161,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,1200,2640.0,2.2,0.01,"Aurobindo Unit III, India",No,3526.69,51.08,-223.5
7991,8197,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,4535,10974.7,2.42,0.04,"Aurobindo Unit III, India",Yes,4002.01,15.39,114.0
5841,6047,SCMS,ASN,639,Direct Drop,FCA,Air,Adult,other,other,60,111,5994.0,53.775000000000006,0.9,other,Yes,926.3,6.16,77.0
4566,4772,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,6,85.3,14.22,0.47,"Aurobindo Unit III, India",No,0.0,0.09,154.0
7662,7868,SO,DN,237,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,129,210.27,1.63,0.01,"Aurobindo Unit III, India",Yes,3519.7,0.22,152.0
5016,5222,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,16645,39115.75,2.35,0.04,"Strides, Bangalore, India.",Yes,5440.01,64.54,176.0
1471,1511,SO,DN,237,From RDC,N/A - From RDC,Air,HIV+,SCMS from RDC,Generic,100,152,1.52,0.01,0.0,other,Yes,798.59,0.0,-223.5
910,911,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,25,10000,200000.0,20.0,0.8,other,Yes,17636.265,320.0,-223.5
9233,9439,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,11.22,0.19,Mylan (formerly Matrix) Nashik,No,3526.69,619.2275,175.0
5400,5606,SCMS,ASN,75,Direct Drop,EXW,Air,Adult,other,Generic,60,32190,261704.7,8.13,0.14,"Aurobindo Unit III, India",Yes,17636.265,323.73,60.0
5437,5643,SCMS,ASN,754,Direct Drop,EXW,Air,Adult,other,Generic,30,41900,407198.31250000006,4.79,0.16,Hetero Unit III Hyderabad IN,No,3526.69,619.2275,50.0
6492,6698,SO,DN,754,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,11326,22085.7,1.95,0.01,"Aurobindo Unit III, India",Yes,17636.265,36.44,215.0
4531,4737,SCMS,ASN,754,Direct Drop,CIP,Air,Adult,other,other,120,287,19114.2,53.775000000000006,0.55,other,No,3526.69,23.64,188.0
825,826,SCMS,ASN,639,Direct Drop,CIP,Air,HIV+,other,other,100,54,18900.0,53.775000000000006,1.09875,other,Yes,0.0,30.24,-223.5
8823,9029,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,11520,103334.4,8.97,0.3,"Aurobindo Unit III, India",No,3526.69,170.5,165.0
8089,8295,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Pediatric,SCMS from RDC,Generic,60,2085,8340.0,4.0,0.07,"Aurobindo Unit III, India",Yes,17636.265,10.32,342.0
1869,1968,SO,DN,94,From RDC,N/A - From RDC,Air,HIV+,SCMS from RDC,other,100,90,6479.1,53.775000000000006,0.72,other,Yes,1730.41,10.37,-223.5
860,861,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,Generic,60,1200,6564.0,5.47,0.09,"Aurobindo Unit III, India",Yes,0.0,12.87,-122.0
7305,7511,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,118,1033.68,8.76,0.15,Mylan (formerly Matrix) Nashik,No,3526.69,2.03,183.0
3314,3520,SCMS,ASN,639,Direct Drop,EXW,Air,Adult,other,other,120,140,5040.0,36.0,0.3,other,Yes,0.0,5.18,205.0
7660,7866,SO,DN,429,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,90,2900,23954.0,8.26,0.09,"Strides, Bangalore, India.",Yes,10640.81,24.62,163.0
3469,3675,SCMS,ASN,75,Direct Drop,EXW,Air,Adult,other,Generic,30,38208,179959.68,4.71,0.16,Hetero Unit III Hyderabad IN,Yes,17636.265,252.3,96.0
535,535,SCMS,ASN,688,Direct Drop,CIP,Air,Adult,other,other,120,1320,238682.4,53.775000000000006,1.09875,other,Yes,13453.12,210.6,-223.5
6066,6272,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,100,530,42400.0,53.775000000000006,0.8,other,Yes,0.0,49.9,111.0
5740,5946,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,250,11850.3,47.4,0.79,other,No,0.0,23.23,90.0
2636,2842,SCMS,ASN,429,Direct Drop,EXW,Air,Adult,other,Generic,60,41900,407198.31250000006,12.49,0.21,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,207.0
5985,6191,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,20,5000,160000.0,32.0,1.09875,other,Yes,17636.265,264.0,191.0
435,435,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,60,100,2318.0,23.18,0.39,other,No,0.0,3.71,-223.5
3280,3486,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,3023,269047.0,53.775000000000006,0.89,other,Yes,12793.7,332.81,106.0
1555,1617,SO,DN,429,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,30,4000,68000.0,17.0,0.57,other,Yes,11931.0,619.2275,-223.5
4396,4602,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,26,777.92,29.92,1.0,"Aurobindo Unit III, India",No,0.0,0.8,60.0
6199,6405,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,100,8200,407198.31250000006,53.775000000000006,0.8,other,Yes,17636.265,619.2275,71.0
8330,8536,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,2383,36936.5,15.5,0.26,"Aurobindo Unit III, India",Yes,4516.67,60.95,168.0
1486,1526,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,16610,224235.0,13.5,0.22,"Cipla, Goa, India",Yes,3733.57,358.78,-223.5
3911,4117,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Pediatric,other,other,180,20000,185600.0,9.28,0.04,other,Yes,7073.56,306.24,197.0
6671,6877,SO,DN,512,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,8.58,0.14,"Strides, Bangalore, India.",Yes,8057.2,619.2275,117.0
5316,5522,SCMS,ASN,75,Direct Drop,EXW,Air,HIV+,other,other,100,120,9600.0,53.775000000000006,0.8,other,Yes,846.69,9.87,73.0
8807,9013,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,9226,49635.88,5.38,0.09,"Cipla, Goa, India",No,3526.69,81.9,261.0
2652,2858,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,20,5264,168448.0,32.0,1.09875,other,Yes,16438.26,363.17,90.0
9903,10109,SO,DN,512,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,120,16114,407198.31250000006,29.31,0.24,Mylan (formerly Matrix) Nashik,Yes,6052.1,619.2275,289.0
8726,8932,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,8150,154850.0,19.0,0.32,Mylan (formerly Matrix) Nashik,No,3526.69,333.86,150.0
3725,3931,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,30,18,59.69,3.32,0.11,"Aurobindo Unit III, India",No,0.0,0.07,412.0
6438,6644,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,7400,147408.0,19.92,0.66,Mylan (formerly Matrix) Nashik,Yes,0.0,317.81,138.0
4979,5185,SCMS,ASN,1046,Direct Drop,CIP,Air,Pediatric,other,other,60,386,3667.0,9.5,0.16,other,Yes,570.75,7.19,147.0
1055,1056,SO,DN,608,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,338,7114.9,21.05,0.09,"Aurobindo Unit III, India",Yes,9869.55,11.38,-223.5
1301,1322,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,40000,288000.0,7.2,0.12,"Strides, Bangalore, India.",Yes,6051.02,460.8,-223.5
1945,2072,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,566,20262.8,35.8,0.6,"Aurobindo Unit III, India",No,3526.69,15.04,-223.5
8570,8776,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,1209,2696.07,2.23,0.04,other,Yes,3526.69,3.34,288.0
1298,1319,SO,DN,650,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,9.45,0.16,"Aurobindo Unit III, India",Yes,2348.92,619.2275,-223.5
5379,5585,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,100,40,544.11,13.6,0.14,other,No,0.0,1.17,42.0
7209,7415,SO,DN,333,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,90,710,6603.0,9.3,0.1,"Strides, Bangalore, India.",No,3526.69,6.79,183.0
3423,3629,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,4,20.72,5.18,0.09,other,No,0.0,0.03,29.0
8059,8265,SO,DN,429,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,180,5495,7967.75,1.45,0.01,"Aurobindo Unit III, India",Yes,4390.98,9.86,176.0
7075,7281,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,15393,33248.88,2.16,0.04,Hetero Unit III Hyderabad IN,Yes,5213.54,46.61,118.0
2771,2977,SCMS,ASN,512,Direct Drop,EXW,Air,Pediatric,other,Generic,90,15041,139881.3,9.3,0.1,"Strides, Bangalore, India.",Yes,4673.77,143.8,68.0
3905,4111,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,118,8980.79,53.775000000000006,1.09875,"Aurobindo Unit III, India",No,0.0,11.11,414.0
2669,2875,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,25,10000,200000.0,20.0,0.8,other,Yes,17636.265,330.0,199.0
1452,1492,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,215,2296.2,10.68,0.18,"Aurobindo Unit III, India",No,3526.69,3.67,-223.5
6478,6684,SO,DN,535,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,35000,148750.0,4.25,0.07,Mylan (formerly Matrix) Nashik,Yes,4428.06,320.7,260.0
3882,4088,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,60,41900,263214.4,2.72,0.05,"Cipla, Goa, India",Yes,4957.81,434.3,323.0
2637,2843,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,180,1000,39000.0,39.0,0.05,other,Yes,5433.21,64.35,123.0
3962,4168,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,20000,219000.0,10.95,0.18,"Aurobindo Unit III, India",Yes,9656.19,361.35,137.0
1558,1620,SO,DN,429,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,306,651.78,2.13,0.04,"Strides, Bangalore, India.",No,3526.69,387.25,-223.5
2080,2207,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,2976,5713.92,1.92,0.01,"Aurobindo Unit III, India",Yes,5463.97,11.2,-94.0
4490,4696,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,13,283.8,21.83,0.73,"Aurobindo Unit III, India",No,0.0,0.29,264.0
8935,9141,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,386909.4,7.27,0.12,Mylan (formerly Matrix) Nashik,No,3526.69,478.61,57.0
268,268,SCMS,ASN,688,Direct Drop,CIP,Air,Pediatric,other,other,60,120,840.0,7.0,0.12,other,Yes,0.0,1.65,79.0
7320,7526,SO,DN,207,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,5000,36050.0,7.21,0.12,"Aurobindo Unit III, India",Yes,2211.22,77.72,28.0
6345,6551,SCMS,ASN,608,Direct Drop,FCA,Air,HIV+,other,other,50,80,107651.2,53.775000000000006,1.09875,other,Yes,0.0,126.71,236.0
111,111,SCMS,ASN,1046,Direct Drop,FCA,Air,Adult,other,other,180,400,15344.0,38.36,0.11,other,Yes,7642.97,30.07,51.0
8303,8509,SO,DN,639,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,30,1778,3982.72,2.24,0.07,"Aurobindo Unit III, India",No,3526.69,8.59,240.0
9035,9241,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,8.11,0.14,"Aurobindo Unit III, India",No,3526.69,619.2275,235.0
5949,6155,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,30,163,4195.98,25.74,0.86,other,Yes,0.0,8.22,96.0
7476,7682,SO,DN,98,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,1728,13824.0,8.0,0.13,Hetero Unit III Hyderabad IN,Yes,0.0,19.38,100.0
9422,9628,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,248325.0,2.31,0.04,"Strides, Bangalore, India.",No,3526.69,348.15,186.0
8319,8525,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,1883,6025.6,3.2,0.05,"Cipla, Goa, India",No,3526.69,12.99,156.0
2596,2802,SCMS,ASN,512,Direct Drop,EXW,Air,Adult,other,Generic,30,9000,179100.0,19.9,0.66,Mylan (formerly Matrix) Nashik,Yes,5834.1,386.14,65.0
2732,2938,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,46,1517.44,32.99,0.55,Hetero Unit III Hyderabad IN,No,0.0,1.88,412.0
6184,6390,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,16800,43680.0,2.6,0.04,Mylan (formerly Matrix) Nashik,No,3526.69,94.17,444.5
1637,1699,SO,DN,535,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,2508,18559.2,7.4,0.12,"Cipla, Goa, India",Yes,12894.85,29.69,-223.5
7314,7520,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,2160,24235.2,11.22,0.19,Mylan (formerly Matrix) Nashik,Yes,9736.1,52.25,193.0
84,84,SCMS,ASN,608,Direct Drop,EXW,Air,HIV+,other,other,20,5700,182400.0,32.0,1.09875,other,Yes,17636.265,357.5,-70.0
4588,4794,SCMS,ASN,429,Direct Drop,EXW,Ocean,Adult,other,Generic,60,41900,278369.9,4.39,0.07,Hetero Unit III Hyderabad IN,Yes,17075.43,390.27,190.0
2446,2625,SO,DN,650,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,9408,31987.2,3.4,0.06,"Aurobindo Unit III, India",Yes,6269.7,51.18,-223.5
8534,8740,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,17782,152569.56,8.58,0.14,Hetero Unit III Hyderabad IN,Yes,17636.265,188.73,182.0
4250,4456,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,20142,99702.9,4.95,0.16,Mylan (formerly Matrix) Nashik,Yes,13850.65,139.78,153.0
9807,10013,SO,DN,237,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,100,423,2013.48,4.76,0.05,"Aurobindo Unit III, India",No,3526.69,3.32,40.0
8608,8814,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,800,3024.0,3.78,0.13,Hetero Unit III Hyderabad IN,Yes,166.96,3.11,129.0
7940,8146,SO,DN,429,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,1489,18612.5,12.5,0.05,"Aurobindo Unit III, India",Yes,5044.26,26.09,28.0
556,556,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,2,278.0,53.775000000000006,1.09875,other,Yes,897.52,0.44,-223.5
6551,6757,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,8.97,0.3,"Aurobindo Unit III, India",Yes,0.0,619.2275,70.0
5945,6151,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,60,41900,407198.31250000006,2.79,0.05,"Cipla, Goa, India",Yes,17636.265,619.2275,167.0
8626,8832,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,7977,90618.72,11.36,0.19,"Aurobindo Unit III, India",No,3526.69,93.16,300.0
318,318,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,3199,255888.01,53.775000000000006,0.8,other,Yes,8213.59,409.42,-223.5
1383,1405,SO,DN,237,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,810,6245.1,7.71,0.13,"Aurobindo Unit III, India",Yes,1000.51,12.24,17.0
5205,5411,SCMS,ASN,1046,Direct Drop,CIP,Air,Pediatric,other,other,60,1887,17926.5,9.5,0.16,other,Yes,781.5,38.65,225.0
2469,2649,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,2178,23522.4,10.8,0.36,"Aurobindo Unit III, India",No,3526.69,46.1,15.0
1646,1708,SO,DN,639,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,98,1519.0,15.5,0.26,"Aurobindo Unit III, India",Yes,991.49,2.43,-223.5
293,293,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,8000,216000.0,27.0,1.09875,other,Yes,17636.265,345.6,-223.5
6015,6221,SCMS,ASN,535,Direct Drop,EXW,Air,Adult,other,Generic,30,33439,155491.35,4.65,0.16,other,Yes,17636.265,159.85,76.0
1132,1133,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,20284,192698.0,9.5,0.16,"Aurobindo Unit III, India",Yes,3826.17,308.32,-223.5
1674,1736,SO,DN,429,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,15000,131400.0,8.76,0.15,"Aurobindo Unit III, India",Yes,17636.265,257.54,-87.0
6701,6907,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,11.15,0.37,other,Yes,7928.11,619.2275,365.0
4998,5204,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,30,1456,34944.0,24.0,0.8,other,Yes,5074.33,75.34,183.0
816,817,SCMS,ASN,70,Direct Drop,EXW,Air,HIV+,other,other,20,500,16000.0,32.0,1.09875,other,Yes,1225.17,25.6,-195.0
7915,8121,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,30,330.0,11.0,0.18,Mylan (formerly Matrix) Nashik,No,3526.69,0.46,85.0
